date,division,index
1/1/2012,3,99.19166667
1/1/2013,3,98.61666667
1/1/2014,3,98.425
1/1/2015,3,98.90833333
1/1/2016,3,98.525
1/1/2017,3,98.175
1/1/2018,3,96.16666667
1/1/2019,3,94.325
1/1/2020,3,93.53333333
1/1/2021,3,93.125
1/1/2022,3,93.24166667
1/1/2023,3,93.45833333
1/1/2024,3,93.21666667
1/1/1980,4,48.91005625
1/1/1981,4,53.75647833
1/1/1982,4,57.14451005
1/1/1983,4,60.62859094
1/1/1984,4,65.18634613
1/1/1985,4,67.92518038
1/1/1986,4,69.01894376
1/1/1987,4,67.996628
1/1/1988,4,66.61917666
1/1/1989,4,66.08866027
1/1/1990,4,66.32795754
1/1/1991,4,68.33542436
1/1/1992,4,70.80585751
1/1/1993,4,73.30149368
1/1/1994,4,75.05872867
1/1/1995,4,77.58566515
1/1/1996,4,80.04365666
1/1/1997,4,82.65777175
1/1/1998,4,86.2167496
1/1/1999,4,87.59302057
1/1/2000,4,88.875
1/1/2001,4,90.10833333
1/1/2002,4,90.725
1/1/2003,4,91.59166667
1/1/2004,4,92.43333333
1/1/2005,4,93.4
1/1/2006,4,94.85
1/1/2007,4,96.06666667
1/1/2008,4,97.575
1/1/2009,4,98.91666667
1/1/2010,4,100.0083333
1/1/2011,4,101.775
1/1/2012,4,103.3916667
1/1/2013,4,105.2333333
1/1/2014,4,108.8
1/1/2015,4,111.45
1/1/2016,4,114.175
1/1/2017,4,116.7083333
1/1/2018,4,119.025
1/1/2019,4,121.25
1/1/2020,4,119.15
1/1/2021,4,121.025
1/1/2022,4,123.2166667
1/1/2023,4,125.2583333
1/1/2024,4,129.025
1/1/1980,5,60.69730622
1/1/1981,5,64.60257543
1/1/1982,5,66.50476685
1/1/1983,5,68.18937386
1/1/1984,5,68.80662079
1/1/1985,5,68.97353541
1/1/1986,5,69.43356827
1/1/1987,5,70.06087988
1/1/1988,5,72.07866879
1/1/1989,5,74.02634844
1/1/1990,5,75.37694995
1/1/1991,5,78.71118419
1/1/1992,5,80.81892711
1/1/1993,5,81.89336746
1/1/1994,5,83.18991588
1/1/1995,5,85.48406749
1/1/1996,5,86.43441534
1/1/1997,5,86.55224908
1/1/1998,5,89.88628497
1/1/1999,5,91.0861279
1/1/2000,5,91.1
1/1/2001,5,91.23333333
1/1/2002,5,90.775
1/1/2003,5,90.34166667
1/1/2004,5,90.65
1/1/2005,5,91.825
1/1/2006,5,92.84166667
1/1/2007,5,93.85
1/1/2008,5,96.64166667
1/1/2009,5,99.56666667
1/1/2010,5,99.94166667
1/1/2011,5,101.7583333
1/1/2012,5,103.7833333
1/1/2013,5,105.425
1/1/2014,5,106.5333333
1/1/2015,5,109.3833333
1/1/2016,5,111.9583333
1/1/2017,5,114.4
1/1/2018,5,114.8333333
1/1/2019,5,116.4416667
1/1/2020,5,116.7166667
1/1/2021,5,118.6166667
1/1/2022,5,122.8166667
1/1/2023,5,125.6083333
1/1/2024,5,126.5416667
1/1/1980,6,38.90610649
1/1/1981,6,42.40215633
1/1/1982,6,44.50585683
1/1/1983,6,50.56776613
1/1/1984,6,51.16468618
1/1/1985,6,52.35396039
1/1/1986,6,53.15879976
1/1/1987,6,53.02249988
1/1/1988,6,53.80699102
1/1/1989,6,54.69833978
1/1/1990,6,56.14094231
1/1/1991,6,59.12202498
1/1/1992,6,61.19984989
1/1/1993,6,64.31388652
1/1/1994,6,66.49699019
1/1/1995,6,68.53052246
1/1/1996,6,71.04612175
1/1/1997,6,73.6282333
1/1/1998,6,78.17737992
1/1/1999,6,80.55993023
1/1/2000,6,82.21666667
1/1/2001,6,84.60833333
1/1/2002,6,86.61666667
1/1/2003,6,88.13333333
1/1/2004,6,89.325
1/1/2005,6,91
1/1/2006,6,92.99166667
1/1/2007,6,94.375
1/1/2008,6,96.48333333
1/1/2009,6,98.625
1/1/2010,6,100.0166667
1/1/2011,6,102.7333333
1/1/2012,6,104.8166667
1/1/2013,6,106.8166667
1/1/2014,6,109.8833333
1/1/2015,6,114.75
1/1/2016,6,117.9
1/1/2017,6,120.9166667
1/1/2018,6,121.8833333
1/1/2019,6,122.6583333
1/1/2020,6,124.1
1/1/2021,6,124.6416667
1/1/2022,6,125.525
1/1/2023,6,128.1833333
1/1/2024,6,130.4833333
1/1/1980,7,37.78656217
1/1/1981,7,40.75808541
1/1/1982,7,42.12856295
1/1/1983,7,43.15189707
1/1/1984,7,45.3176575
1/1/1985,7,46.30590194
1/1/1986,7,46.49289427
1/1/1987,7,47.94076959
1/1/1988,7,51.17741891
1/1/1989,7,54.65715514
1/1/1990,7,57.38088034
1/1/1991,7,59.79667039
1/1/1992,7,62.45074579
1/1/1993,7,65.94812682
1/1/1994,7,69.00106797
1/1/1995,7,70.24839028
1/1/1996,7,71.19808021
1/1/1997,7,71.61198806
1/1/1998,7,71.55467877
1/1/1999,7,71.91047258
1/1/2000,7,73.39166667
1/1/2001,7,76.09166667
1/1/2002,7,81.05833333
1/1/2003,7,82.40833333
1/1/2004,7,83
1/1/2005,7,87.76666667
1/1/2006,7,97.375
1/1/2007,7,99.64166667
1/1/2008,7,108.4916667
1/1/2009,7,98.25
1/1/2010,7,100.0166667
1/1/2011,7,104.4166667
1/1/2012,7,105.1416667
1/1/2013,7,107.2416667
1/1/2014,7,112.4
1/1/2015,7,107.3166667
1/1/2016,7,102.4333333
1/1/2017,7,115.925
1/1/2018,7,117.675
1/1/2019,7,114
1/1/2020,7,102.6166667
1/1/2021,7,113.9166667
1/1/2022,7,119.2416667
1/1/2023,7,120.5333333
1/1/2024,7,121.675
1/1/2005,8,104.3833333
1/1/2006,8,102.8916667
1/1/2007,8,101.65
1/1/2008,8,100.9833333
1/1/2009,8,100.5166667
1/1/2010,8,100.0083333
1/1/2011,8,99.725
1/1/2012,8,99.08333333
1/1/2013,8,98.41666667
1/1/2014,8,97.725
1/1/2015,8,99.63333333
1/1/2016,8,98.05
1/1/2017,8,97.725
1/1/2018,8,96.01666667
1/1/2019,8,96.4
1/1/2020,8,97.5
1/1/2021,8,97.5
1/1/2022,8,97.49166667
1/1/2023,8,94.63333333
1/1/2024,8,93.16666667
1/1/1980,9,69.61976093
1/1/1981,9,73.43107469
1/1/1982,9,75.28874577
1/1/1983,9,74.80744665
1/1/1984,9,72.85937593
1/1/1985,9,71.95316263
1/1/1986,9,72.02846909
1/1/1987,9,74.20273913
1/1/1988,9,75.3757353
1/1/1989,9,75.80489857
1/1/1990,9,76.46647485
1/1/1991,9,78.48834595
1/1/1992,9,80.78230442
1/1/1993,9,81.15676354
1/1/1994,9,81.68089326
1/1/1995,9,83.75712193
1/1/1996,9,86.50030295
1/1/1997,9,86.87486797
1/1/1998,9,89.65899036
1/1/1999,9,91.94630583
1/1/2000,9,92.45
1/1/2001,9,92.36666667
1/1/2002,9,92.575
1/1/2003,9,93.14166667
1/1/2004,9,92.95833333
1/1/2005,9,93.475
1/1/2006,9,94.13333333
1/1/2007,9,95.44166667
1/1/2008,9,97.06666667
1/1/2009,9,98.61666667
1/1/2010,9,99.98333333
1/1/2011,9,101.9666667
1/1/2012,9,103.175
1/1/2013,9,103.2666667
1/1/2014,9,104.9333333
1/1/2015,9,106.725
1/1/2016,9,109.4333333
1/1/2017,9,111.5083333
1/1/2018,9,111.0083333
1/1/2019,9,111.7583333
1/1/2020,9,112.3333333
1/1/2021,9,112.8416667
1/1/2022,9,115.3583333
1/1/2023,9,117.05
1/1/2024,9,119.175
