date,division,inflation
1/1/2009,3,-0.933517331
1/1/2010,3,-1.663389053
1/1/2011,3,-0.249979168
1/1/2012,3,-0.568039429
1/1/2013,3,-0.579685793
1/1/2014,3,-0.194355248
1/1/2015,3,0.491067649
1/1/2016,3,-0.387564243
1/1/2017,3,-0.355239787
1/1/2018,3,-2.045666752
1/1/2019,3,-1.91507799
1/1/2020,3,-0.839296758
1/1/2021,3,-0.436564505
1/1/2022,3,0.125279642
1/1/2023,3,0.232371079
1/1/2024,3,-0.258582256
1/1/1981,4,9.908845856
1/1/1982,4,6.302555207
1/1/1983,4,6.096965184
1/1/1984,4,7.517501444
1/1/1985,4,4.201545892
1/1/1986,4,1.610247292
1/1/1987,4,-1.481210381
1/1/1988,4,-2.025764187
1/1/1989,4,-0.796341867
1/1/1990,4,0.362085224
1/1/1991,4,3.026577167
1/1/1992,4,3.615157406
1/1/1993,4,3.524618229
1/1/1994,4,2.397270383
1/1/1995,4,3.366612407
1/1/1996,4,3.16810007
1/1/1997,4,3.265861655
1/1/1998,4,4.305678432
1/1/1999,4,1.596291876
1/1/2000,4,1.463563449
1/1/2001,4,1.387716831
1/1/2002,4,0.684361417
1/1/2003,4,0.955267751
1/1/2004,4,0.918933673
1/1/2005,4,1.045798774
1/1/2006,4,1.552462527
1/1/2007,4,1.282727113
1/1/2008,4,1.570090215
1/1/2009,4,1.375010676
1/1/2010,4,1.103622578
1/1/2011,4,1.766519457
1/1/2012,4,1.588471301
1/1/2013,4,1.781252519
1/1/2014,4,3.389293633
1/1/2015,4,2.435661765
1/1/2016,4,2.44504262
1/1/2017,4,2.218816145
1/1/2018,4,1.985005355
1/1/2019,4,1.869355177
1/1/2020,4,-1.731958763
1/1/2021,4,1.573646664
1/1/2022,4,1.810920609
1/1/2023,4,1.656972812
1/1/2024,4,3.007118622
1/1/1981,5,6.434007463
1/1/1982,5,2.94445137
1/1/1983,5,2.533062053
1/1/1984,5,0.905195182
1/1/1985,5,0.242585126
1/1/1986,5,0.666970093
