,Unnamed: 0,inflation,ppi,cpi,lf,p_rate,u_rate,lf_unemployed,lf_outside,ep_ratio,inflation_lag1,inflation_lag2,inflation_lag3,inflation_lag4,inflation_lag5,inflation_lag6,time_index,ppi_ma3,u_rate_ma3,economic_indicator_index,economic_indicator_index_norm,is_forecasted
0,6,0.8023028011999722,98.5,100.0,12516.2,64.5,3.3,416.7,6900.5,62.3,0.5008003999999788,0.4003999999999896,0.2000000000000001,0.2000000000000001,0.2000000000000001,0.2000000000000001,6,98.69999999999999,3.4,-4.1220450184216775,9.769754385294263,0
1,7,1.1047097096035683,99.0,100.3,12320.9,63.2,3.1,384.3,7157.9,61.3,0.8023028011999722,0.5008003999999788,0.4003999999999896,0.2000000000000001,0.2000000000000001,0.2000000000000001,7,98.83333333333333,3.3333333333333335,-4.552175641816285,0.7465603181005918,0
2,8,1.205814419313156,98.8,100.4,12289.9,63.1,3.1,377.8,7194.4,61.1,1.1047097096035683,0.8023028011999722,0.5008003999999788,0.4003999999999896,0.2000000000000001,0.2000000000000001,8,98.76666666666667,3.1666666666666665,-4.587763755363992,0.0,0
3,9,1.408226048151784,100.9,100.6,12689.5,65.0,2.7,346.8,6846.7,63.2,1.205814419313156,1.1047097096035683,0.8023028011999722,0.5008003999999788,0.4003999999999896,0.2000000000000001,9,99.56666666666668,2.966666666666667,-3.9774571521872257,12.8028896838196,0
4,10,1.6110425002480833,102.9,100.8,12277.5,62.7,3.3,403.4,7298.3,60.7,1.408226048151784,1.205814419313156,1.1047097096035683,0.8023028011999722,0.5008003999999788,0.4003999999999896,10,100.86666666666667,3.033333333333333,-4.4232438661951745,3.4512652834800264,0
5,11,2.01748667024908,105.9,101.2,12822.3,65.6,3.2,404.1,6722.3,63.5,1.6110425002480833,1.408226048151784,1.205814419313156,1.1047097096035683,0.8023028011999722,0.5008003999999788,11,103.23333333333335,3.066666666666667,-3.339346682020404,26.18904332055139,0
6,12,2.6295915902705858,108.3,101.8,12804.2,65.0,3.3,428.2,6881.6,62.9,2.01748667024908,1.6110425002480833,1.408226048151784,1.205814419313156,1.1047097096035683,0.8023028011999722,12,105.7,3.266666666666666,-3.313237089158557,26.736765130146267,0
7,13,3.142739548221929,109.4,102.3,12618.9,64.0,3.0,373.6,7110.3,62.1,2.6295915902705858,2.01748667024908,1.6110425002480833,1.408226048151784,1.205814419313156,1.1047097096035683,13,107.86666666666667,3.1666666666666665,-3.650214521314121,19.66772005121743,0
8,14,3.245882287770141,111.8,102.4,12862.2,65.0,2.9,370.4,6940.1,63.1,3.142739548221929,2.6295915902705858,2.01748667024908,1.6110425002480833,1.408226048151784,1.205814419313156,14,109.83333333333333,3.0666666666666664,-3.227461709939071,28.53614385555848,0
9,15,3.452374052345686,113.2,102.6,12921.7,65.1,3.0,384.6,6930.6,63.2,3.245882287770141,3.142739548221929,2.6295915902705858,2.01748667024908,1.6110425002480833,1.408226048151784,15,111.46666666666665,2.966666666666667,-3.069314117886618,31.853732366431643,0
