,Unnamed: 0,inflation,ppi,cpi,lf,p_rate,u_rate,lf_unemployed,lf_outside,ep_ratio,inflation_lag1,inflation_lag2,inflation_lag3,inflation_lag4,inflation_lag5,inflation_lag6,time_index,ppi_ma3,u_rate_ma3,economic_indicator_index,economic_indicator_index_norm,is_forecasted
0,6,0.0080230280119997,98.5,100.0,12516.2,64.5,3.3,416.7,6900.5,62.3,0.0050080039999997,0.0040039999999998,0.002,0.002,0.002,0.002,6,98.69999999999999,3.4,0.059020275864711785,105.90202758647118,0
1,7,0.0110470970960356,99.0,100.3,12320.9,63.2,3.1,384.3,7157.9,61.3,0.0080230280119997,0.0050080039999997,0.0040039999999998,0.002,0.002,0.002,7,98.83333333333333,3.3333333333333335,0.004510061787251044,100.45100617872511,0
2,8,0.0120581441931315,98.8,100.4,12289.9,63.1,3.1,377.8,7194.4,61.1,0.0110470970960356,0.0080230280119997,0.0050080039999997,0.0040039999999998,0.002,0.002,8,98.76666666666667,3.1666666666666665,0.0,100.0,0
3,9,0.0140822604815178,100.9,100.6,12689.5,65.0,2.7,346.8,6846.7,63.2,0.0120581441931315,0.0110470970960356,0.0080230280119997,0.0050080039999997,0.0040039999999998,0.002,9,99.56666666666668,2.966666666666667,0.0773438155356192,107.73438155356192,0
4,10,0.0161104250024808,102.9,100.8,12277.5,62.7,3.3,403.4,7298.3,60.7,0.0140822604815178,0.0120581441931315,0.0110470970960356,0.0080230280119997,0.0050080039999997,0.0040039999999998,10,100.86666666666667,3.033333333333333,0.02084951382400182,102.08495138240018,0
5,11,0.0201748667024908,105.9,101.2,12822.3,65.6,3.2,404.1,6722.3,63.5,0.0161104250024808,0.0140822604815178,0.0120581441931315,0.0110470970960356,0.0080230280119997,0.0050080039999997,11,103.23333333333335,3.066666666666667,0.15821119963245378,115.82111996324538,0
6,12,0.0262959159027058,108.3,101.8,12804.2,65.0,3.3,428.2,6881.6,62.9,0.0201748667024908,0.0161104250024808,0.0140822604815178,0.0120581441931315,0.0110470970960356,0.0080230280119997,12,105.7,3.266666666666666,0.16152005377806725,116.15200537780672,0
7,13,0.0314273954822192,109.4,102.3,12618.9,64.0,3.0,373.6,7110.3,62.1,0.0262959159027058,0.0201748667024908,0.0161104250024808,0.0140822604815178,0.0120581441931315,0.0110470970960356,13,107.86666666666667,3.1666666666666665,0.1188150916874675,111.88150916874675,0
8,14,0.0324588228777014,111.8,102.4,12862.2,65.0,2.9,370.4,6940.1,63.1,0.0314273954822192,0.0262959159027058,0.0201748667024908,0.0161104250024808,0.0140822604815178,0.0120581441931315,14,109.83333333333333,3.0666666666666664,0.17239031976129188,117.23903197612918,0
9,15,0.0345237405234568,113.2,102.6,12921.7,65.1,3.0,384.6,6930.6,63.2,0.0324588228777014,0.0314273954822192,0.0262959159027058,0.0201748667024908,0.0161104250024808,0.0140822604815178,15,111.46666666666665,2.966666666666667,0.19243227592470002,119.24322759247,0
10,16,0.0376273117450272,113.2,102.9,12726.6,64.1,3.1,396.3,7133.2,62.1,0.0345237405234568,0.0324588228777014,0.0314273954822192,0.0262959159027058,0.0201748667024908,0.0161104250024808,16,112.73333333333335,3.0,0.15840865075194918,115.84086507519491,0
11,17,0.0407401936802622,113.5,103.2,12782.7,64.4,3.2,410.1,7073.7,62.3,0.0376273117450272,0.0345237405234568,0.0324588228777014,0.0314273954822192,0.0262959159027058,0.0201748667024908,17,113.3,3.1,0.18058189450856668,118.05818945085667,0
12,18,0.0428216740676228,113.3,103.4,12967.4,65.2,3.0,385.9,6920.5,63.3,0.0407401936802622,0.0376273117450272,0.0345237405234568,0.0324588228777014,0.0314273954822192,0.0262959159027058,18,113.33333333333333,3.1,0.20838329944689638,120.83832994468963,0
13,19,0.0449073174157581,113.5,103.6,12887.9,64.7,3.1,401.2,7038.6,62.7,0.0428216740676228,0.0407401936802622,0.0376273117450272,0.0345237405234568,0.0324588228777014,0.0314273954822192,19,113.43333333333334,3.1,0.19600112148837226,119.60011214883723,0
14,20,0.0480420393680052,113.2,103.9,12875.9,64.7,3.2,419.0,7032.2,62.6,0.0449073174157581,0.0428216740676228,0.0407401936802622,0.0376273117450272,0.0345237405234568,0.0324588228777014,20,113.33333333333333,3.1,0.20203119545457893,120.2031195454579,0
15,21,0.0490900814073731,112.9,104.0,12938.2,64.7,3.0,388.1,7045.7,62.8,0.0480420393680052,0.0449073174157581,0.0428216740676228,0.0407401936802622,0.0376273117450272,0.0345237405234568,21,113.2,3.1,0.19585655686617015,119.58565568661702,0
16,22,0.0501391714887804,112.2,104.1,12722.4,63.7,3.1,398.7,7245.7,61.7,0.0490900814073731,0.0480420393680052,0.0449073174157581,0.0428216740676228,0.0407401936802622,0.0376273117450272,22,112.76666666666667,3.1,0.15479819166800673,115.47981916680067,0
17,23,0.0511893106602692,113.4,104.2,13092.1,65.2,3.1,404.9,6997.3,63.2,0.0501391714887804,0.0490900814073731,0.0480420393680052,0.0449073174157581,0.0428216740676228,0.0407401936802622,23,112.83333333333333,3.0666666666666664,0.2288390082299213,122.88390082299213,0
18,24,0.0543428785922499,113.4,104.5,13191.6,65.7,3.1,410.4,6878.5,63.7,0.0511893106602692,0.0501391714887804,0.0490900814073731,0.0480420393680052,0.0449073174157581,0.0428216740676228,24,113.0,3.1,0.25378279183783564,125.37827918378356,0
19,25,0.0543428785922499,114.0,104.5,13054.5,65.0,3.1,408.9,7042.3,62.9,0.0543428785922499,0.0511893106602692,0.0501391714887804,0.0490900814073731,0.0480420393680052,0.0449073174157581,25,113.60000000000001,3.1,0.22737868240224,122.737868240224,0
