Feature,PCA_Loading
inflation,0.4139569433969964
ppi,0.22482727939597635
cpi,0.41413830831519244
lf,0.4189552868113257
lf_outside,0.31949349596822746
lf_unemployed,0.35949139959897525
p_rate,0.3794361159642878
u_rate,0.2361701637417296
