Date,Variable,Age,SRU
1-Jul-20,Rate,25-34,42.1
1-Oct-20,Rate,25-34,41.3
1-Jan-21,Rate,25-34,44.4
1-Apr-21,Rate,25-34,39.6
1-Jul-21,Rate,25-34,43.3
1-Oct-21,Rate,25-34,44.8
1-Jan-22,Rate,25-34,42.2
1-Apr-22,Rate,25-34,41.2
1-Jul-22,Rate,25-34,43.1
1-Oct-22,Rate,25-34,46.3
1-Jan-23,Rate,25-34,43.2
1-Apr-23,Rate,25-34,43.3
1-Jul-23,Rate,25-34,41.6
1-Oct-23,Rate,25-34,41.6
1-Jan-24,Rate,25-34,40.1
1-Apr-24,Rate,25-34,39
1-Jul-24,Rate,25-34,41.1
1-Oct-24,Rate,25-34,40
1-Jan-17,Persons,25-34,569
1-Apr-17,Persons,25-34,587.7
1-Jul-17,Persons,25-34,632.6
1-Oct-17,Persons,25-34,631.8
1-Jan-18,Persons,25-34,629.2
1-Apr-18,Persons,25-34,687.4
1-Jul-18,Persons,25-34,683.3
1-Oct-18,Persons,25-34,679.1
1-Jan-19,Persons,25-34,696.4
1-Apr-19,Persons,25-34,666
1-Jul-19,Persons,25-34,705.8
1-Oct-19,Persons,25-34,732.4
1-Jan-20,Persons,25-34,786.3
1-Apr-20,Persons,25-34,701.9
1-Jul-20,Persons,25-34,811.4
1-Oct-20,Persons,25-34,862.6
1-Jan-21,Persons,25-34,848.4
1-Apr-21,Persons,25-34,776
1-Jul-21,Persons,25-34,835.3
1-Oct-21,Persons,25-34,816.4
1-Jan-22,Persons,25-34,821.3
1-Apr-22,Persons,25-34,799.4
1-Jul-22,Persons,25-34,861.4
1-Oct-22,Persons,25-34,894.9
1-Jan-23,Persons,25-34,879.1
1-Apr-23,Persons,25-34,867.5
1-Jul-23,Persons,25-34,816.1
1-Oct-23,Persons,25-34,815.3
1-Jan-24,Persons,25-34,827.8
1-Apr-24,Persons,25-34,806.8
1-Jul-24,Persons,25-34,864
1-Oct-24,Persons,25-34,819.4
1-Jan-17,Rate,35-44,20.8
1-Apr-17,Rate,35-44,22
1-Jul-17,Rate,35-44,21.7
1-Oct-17,Rate,35-44,24.8
1-Jan-18,Rate,35-44,24.2
1-Apr-18,Rate,35-44,23.2
1-Jul-18,Rate,35-44,24
1-Oct-18,Rate,35-44,21
1-Jan-19,Rate,35-44,21.6
1-Apr-19,Rate,35-44,22.6
1-Jul-19,Rate,35-44,22.9
1-Oct-19,Rate,35-44,24.6
1-Jan-20,Rate,35-44,25.4
1-Apr-20,Rate,35-44,27.2
1-Jul-20,Rate,35-44,26.2
1-Oct-20,Rate,35-44,30.3
1-Jan-21,Rate,35-44,27.3
1-Apr-21,Rate,35-44,30.3
1-Jul-21,Rate,35-44,27.4
1-Oct-21,Rate,35-44,29.2
1-Jan-22,Rate,35-44,29.3
1-Apr-22,Rate,35-44,30.4
1-Jul-22,Rate,35-44,28
1-Oct-22,Rate,35-44,28.6
1-Jan-23,Rate,35-44,29.7
1-Apr-23,Rate,35-44,28.4
1-Jul-23,Rate,35-44,28.5
1-Oct-23,Rate,35-44,29.5
1-Jan-24,Rate,35-44,27.6
1-Apr-24,Rate,35-44,29.8
1-Jul-24,Rate,35-44,28.7
1-Oct-24,Rate,35-44,27.4
1-Jan-17,Persons,35-44,209.3
1-Apr-17,Persons,35-44,226.9
1-Jul-17,Persons,35-44,227.4
1-Oct-17,Persons,35-44,254.8
1-Jan-18,Persons,35-44,259
1-Apr-18,Persons,35-44,257.7
1-Jul-18,Persons,35-44,266.9
1-Oct-18,Persons,35-44,245.4
1-Jan-19,Persons,35-44,263
1-Apr-19,Persons,35-44,259.7
1-Jul-19,Persons,35-44,279.1
1-Oct-19,Persons,35-44,287.4
1-Jan-20,Persons,35-44,310.8
1-Apr-20,Persons,35-44,331.6
1-Jul-20,Persons,35-44,355.3
1-Oct-20,Persons,35-44,443
1-Jan-21,Persons,35-44,401.7
1-Apr-21,Persons,35-44,426.1
1-Jul-21,Persons,35-44,392
1-Oct-21,Persons,35-44,454.6
1-Jan-22,Persons,35-44,428.2
1-Apr-22,Persons,35-44,433.3
1-Jul-22,Persons,35-44,432.2
1-Oct-22,Persons,35-44,476
1-Jan-23,Persons,35-44,447.4
1-Apr-23,Persons,35-44,421
1-Jul-23,Persons,35-44,457.8
1-Oct-23,Persons,35-44,493.7
1-Jan-24,Persons,35-44,441.4
1-Apr-24,Persons,35-44,467.8
1-Jul-24,Persons,35-44,451.1
1-Oct-24,Persons,35-44,454.6
1-Jan-17,Rate,45+,17.9
1-Apr-17,Rate,45+,20.6
1-Jul-17,Rate,45+,18.4
1-Oct-17,Rate,45+,19.2
1-Jan-18,Rate,45+,19.9
1-Apr-18,Rate,45+,19.2
1-Jul-18,Rate,45+,19.7
1-Oct-18,Rate,45+,19.6
1-Jan-19,Rate,45+,22
1-Apr-19,Rate,45+,19
1-Jul-19,Rate,45+,21.7
1-Oct-19,Rate,45+,21.7
1-Jan-20,Rate,45+,23.9
1-Apr-20,Rate,45+,27.3
1-Jul-20,Rate,45+,20.2
1-Oct-20,Rate,45+,23.1
1-Jan-21,Rate,45+,20.8
1-Apr-21,Rate,45+,29.6
1-Jul-21,Rate,45+,21.5
1-Oct-21,Rate,45+,24
1-Jan-22,Rate,45+,20.1
1-Apr-22,Rate,45+,22.9
