state,date,division,index
Johor,1/2/2023,overall,133.4
Johor,1/3/2023,overall,133.4
Johor,1/4/2023,overall,133.3
Johor,1/5/2023,overall,133.5
Johor,1/6/2023,overall,133.7
Johor,1/7/2023,overall,133.8
Johor,1/8/2023,overall,134.1
Johor,1/9/2023,overall,134.2
Johor,1/10/2023,overall,134.2
Johor,1/11/2023,overall,134.3
Johor,1/12/2023,overall,134.6
Johor,1/1/2024,overall,134.9
Johor,1/2/2024,overall,135.4
Johor,1/3/2024,overall,135.4
Johor,1/4/2024,overall,135.4
Johor,1/5/2024,overall,136
Johor,1/6/2024,overall,136.4
Johor,1/7/2024,overall,136.4
Johor,1/8/2024,overall,136.5
Johor,1/9/2024,overall,136.6
Johor,1/10/2024,overall,136.8
Johor,1/11/2024,overall,136.8
Johor,1/12/2024,overall,137
Johor,1/1/2025,overall,137.4
Johor,1/2/2025,overall,138.3
Johor,1/3/2025,overall,138.2
Johor,1/4/2025,overall,138.4
Johor,1/5/2025,overall,138.4
Johor,1/6/2025,overall,138.5
Johor,1/7/2025,overall,138.9
Kedah,1/1/2010,overall,99.6
Kedah,1/2/2010,overall,99.5
Kedah,1/3/2010,overall,99.3
Kedah,1/4/2010,overall,99.3
Kedah,1/5/2010,overall,99.5
Kedah,1/6/2010,overall,99.7
Kedah,1/7/2010,overall,99.9
Kedah,1/8/2010,overall,100.2
Kedah,1/9/2010,overall,100.1
Kedah,1/10/2010,overall,100.6
Kedah,1/11/2010,overall,101
Kedah,1/12/2010,overall,101.3
Kedah,1/1/2011,overall,101.8
Kedah,1/2/2011,overall,102.3
Kedah,1/3/2011,overall,102.4
Kedah,1/4/2011,overall,102.6
Kedah,1/5/2011,overall,102.9
Kedah,1/6/2011,overall,103.1
Kedah,1/7/2011,overall,103.3
Kedah,1/8/2011,overall,103.4
Kedah,1/9/2011,overall,103.7
Kedah,1/10/2011,overall,104
Kedah,1/11/2011,overall,104.1
Kedah,1/12/2011,overall,104.2
Kedah,1/1/2012,overall,104.6
Kedah,1/2/2012,overall,104.5
Kedah,1/3/2012,overall,104.3
Kedah,1/4/2012,overall,104.4
Kedah,1/5/2012,overall,104.8
Kedah,1/6/2012,overall,105
Kedah,1/7/2012,overall,104.9
Kedah,1/8/2012,overall,105
Kedah,1/9/2012,overall,105.3
Kedah,1/10/2012,overall,105.7
Kedah,1/11/2012,overall,105.6
Kedah,1/12/2012,overall,105.6
Kedah,1/1/2013,overall,106.3
Kedah,1/2/2013,overall,106.3
Kedah,1/3/2013,overall,106.4
Kedah,1/4/2013,overall,106.5
Kedah,1/5/2013,overall,106.7
Kedah,1/6/2013,overall,106.8
Kedah,1/7/2013,overall,107.1
Kedah,1/8/2013,overall,107.2
Kedah,1/9/2013,overall,108.3
Kedah,1/10/2013,overall,108.7
Kedah,1/11/2013,overall,108.7
